neighborhood,price,bedrooms,bathrooms,house_size,description
Green Oaks,800000,3,2,2000,"This charming 3-bedroom, 2-bathroom home located in the heart of Green Oaks offers 2000 square feet of well-designed living space. The open-concept layout includes a spacious living area with abundant natural light, a modern kitchen equipped with stainless steel appliances, and a cozy dining area perfect for family gatherings. The master suite features an en-suite bathroom, while the other two bedrooms are generously sized. With a beautifully landscaped backyard and a two-car garage, this home is perfect for those seeking comfort and convenience."
Sunnybrook,1200000,4,3,3500,"Welcome to this luxurious 4-bedroom, 3-bathroom home in the prestigious Sunnybrook neighborhood. Spanning 3500 square feet, this property boasts a spacious floor plan with high ceilings and an abundance of natural light. The gourmet kitchen is a chef’s dream, featuring granite countertops, an oversized island, and top-of-the-line appliances. The master suite offers a spa-like bathroom with a soaking tub and separate shower. Additional features include a large backyard, perfect for entertaining, and a three-car garage."
Maple Ridge,950000,4,2.5,2800,"This elegant 4-bedroom, 2.5-bathroom home in Maple Ridge offers 2800 square feet of beautifully designed space. The open-concept living area features a large family room, a gourmet kitchen with modern appliances, and a formal dining area. The master bedroom includes a luxurious en-suite bathroom with dual vanities and a walk-in closet. Outside, enjoy a private backyard oasis perfect for relaxing or entertaining."
Harbor View,600000,2,2,1500,"This cozy 2-bedroom, 2-bathroom home offers 1500 square feet of comfortable living space in the peaceful Harbor View neighborhood. The living room flows seamlessly into the kitchen, featuring updated appliances and a breakfast bar. The spacious master suite includes a private bath, and the second bedroom is ideal for guests or as a home office. Enjoy your evenings on the large back deck, overlooking the beautifully landscaped yard."
Cedar Hills,500000,3,1.5,1700,"Located in the charming Cedar Hills neighborhood, this 3-bedroom, 1.5-bathroom home offers 1700 square feet of comfortable living space. The home features an inviting living room with a cozy fireplace, a well-appointed kitchen with ample cabinet space, and a formal dining area. The backyard includes a patio area, perfect for outdoor dining and relaxation."
Lakeside Estates,1500000,5,4,4200,"This luxurious 5-bedroom, 4-bathroom estate in Lakeside Estates spans 4200 square feet and offers breathtaking lake views. The home features an open floor plan with a grand living room, a state-of-the-art kitchen with high-end appliances, and a formal dining room. The master suite is a private retreat with a spa-like bathroom, and the expansive backyard includes a pool and outdoor entertaining space."
Willow Springs,780000,3,2,2100,"This modern 3-bedroom, 2-bathroom home in Willow Springs offers 2100 square feet of bright and airy living space. The home features a large living room with vaulted ceilings, an updated kitchen with stainless steel appliances, and a breakfast nook. The spacious master bedroom includes an en-suite bath with dual sinks. The backyard is fully fenced, offering privacy and space for outdoor activities."
Riverstone,1250000,4,3.5,3300,"This stunning 4-bedroom, 3.5-bathroom home in Riverstone boasts 3300 square feet of luxurious living space. The home features an expansive living room with a fireplace, a chef’s kitchen with a large island, and a formal dining room. The master suite offers a walk-in closet and a spa-like bathroom. The beautifully landscaped backyard includes a patio, perfect for entertaining."
Mountain View,850000,3,2.5,2400,"This charming 3-bedroom, 2.5-bathroom home in Mountain View offers 2400 square feet of living space with stunning mountain views. The open-concept floor plan includes a spacious living room with large windows, a gourmet kitchen with granite countertops, and a formal dining room. The master suite includes a private bath with a soaking tub. The backyard features a large patio, perfect for enjoying the picturesque scenery."
Pine Grove,675000,3,2,1900,"This delightful 3-bedroom, 2-bathroom home in Pine Grove offers 1900 square feet of comfortable living space. The home features a cozy living room with a fireplace, a kitchen with modern appliances, and a dining area that opens to a large backyard. The master bedroom includes an en-suite bath, and the backyard is perfect for outdoor entertaining with a spacious patio."
